,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
40,109/07/29,"2,189,403","51,544,194",23.35,23.80,23.35,23.55,+0.20,813
41,109/07/30,"1,364,576","32,213,084",23.65,23.70,23.55,23.55, 0.00,456
42,109/07/31,"1,479,219","34,828,451",23.65,23.65,23.45,23.55, 0.00,367
43,109/08/03,"4,218,477","101,157,691",23.65,24.30,23.55,24.00,+0.45,"1,455"
44,109/08/04,"1,922,860","46,035,544",24.10,24.15,23.85,23.95,-0.05,629
45,109/08/05,"2,172,239","52,139,835",24.00,24.15,23.85,23.95, 0.00,556
46,109/08/06,"2,052,420","48,981,139",24.10,24.15,23.65,23.90,-0.05,539
47,109/08/07,"1,911,839","45,456,920",23.90,23.95,23.65,23.80,-0.10,502
48,109/08/10,"2,825,391","68,150,434",23.80,24.30,23.80,24.15,+0.35,"1,041"
49,109/08/11,"4,279,377","104,574,750",24.30,24.70,24.15,24.55,+0.40,"1,643"
50,109/08/12,"3,778,967","92,120,777",24.45,24.60,23.95,24.60,+0.05,"1,059"
51,109/08/13,"1,477,965","36,055,035",24.65,24.70,24.25,24.55,-0.05,602
52,109/08/14,"3,632,344","89,031,857",24.45,24.80,24.20,24.75,+0.20,"1,267"
53,109/08/17,"6,370,752","161,134,744",24.85,25.50,24.85,25.40,+0.65,"2,388"
54,109/08/18,"3,994,293","101,983,119",25.50,25.80,25.35,25.60,+0.20,"1,656"
55,109/08/19,"3,519,748","90,365,651",25.70,25.80,25.50,25.55,-0.05,"1,174"
56,109/08/20,"4,146,047","103,372,875",25.50,25.60,24.30,24.80,-0.75,"1,813"
57,109/08/21,"3,293,841","83,022,828",25.35,25.35,25.05,25.25,+0.45,"1,392"
58,109/08/24,"2,618,690","66,284,169",25.25,25.45,25.15,25.40,+0.15,930
59,109/08/25,"2,322,106","58,980,374",25.40,25.50,25.30,25.45,+0.05,747
60,109/08/26,"1,540,661","39,288,551",25.55,25.55,25.40,25.50,+0.05,636
61,109/08/27,"2,616,441","66,615,695",25.55,25.65,25.25,25.50, 0.00,791
62,109/08/28,"2,209,607","56,649,943",25.60,25.70,25.55,25.70,+0.20,839
63,109/08/31,"10,255,628","273,309,645",25.85,27.30,25.85,26.75,+1.05,"3,933"
64,109/09/01,"6,455,943","174,961,642",27.00,27.40,26.85,26.95,+0.20,"2,444"
65,109/09/02,"14,764,037","408,758,602",27.00,28.20,27.00,27.70,+0.75,"6,071"
66,109/09/03,"13,028,870","366,335,960",28.15,28.45,27.70,28.10,+0.40,"5,804"
67,109/09/04,"21,352,291","612,992,523",27.80,29.40,27.60,28.95,+0.85,"7,454"
68,109/09/07,"29,922,762","890,675,660",29.30,30.50,29.05,29.65,+0.70,"11,375"
69,109/09/08,"22,401,005","673,283,336",29.70,30.70,29.05,30.65,+1.00,"9,242"
70,109/09/09,"22,124,086","675,280,357",30.40,30.95,29.90,30.70,+0.05,"10,242"
71,109/09/10,"17,196,540","520,027,550",30.70,30.85,29.95,30.00,-0.70,"7,211"
